date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:33	24/24	---M--	200	added ('OK')	text/plain	date:Mon,%2006%20Jul%202026%2012:40:30%20GMT	https://shepherdandmilcah.co.zw/robots.txt		(from )
12:12:33	37222/37222	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202026%2010:12:31%20GMT	https://shepherdandmilcah.co.zw/	C:/My%20Web%20Sites/wedd/shepherdandmilcah.co.zw/index.html	(from )
12:12:34	63395/63395	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Jul%202026%2012:40:30%20GMT	https://shepherdandmilcah.co.zw/build/assets/app-B9fOhxTP.css	C:/My%20Web%20Sites/wedd/shepherdandmilcah.co.zw/build/assets/app-B9fOhxTP.css	(from https://shepherdandmilcah.co.zw/)
12:12:35	42402/42402	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2006%20Jul%202026%2012:40:30%20GMT	https://shepherdandmilcah.co.zw/build/assets/app-UyRVujZY.js	C:/My%20Web%20Sites/wedd/shepherdandmilcah.co.zw/build/assets/app-UyRVujZY.js	(from https://shepherdandmilcah.co.zw/)
12:12:36	897/897	---MCZ	200	added ('OK')	application/javascript	etag:W/%22381-U0ygJqGeYqkUBoUXrSni3brP7zU%22	https://cdn.jsdelivr.net/npm/@alpinejs/intersect@3.x.x/dist/cdn.min.js	C:/My%20Web%20Sites/wedd/cdn.jsdelivr.net/npm/@alpinejs/intersect@3.x.x/dist/cdn.min.js	(from https://shepherdandmilcah.co.zw/)
12:12:36	46346/46346	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b50a-ffPyh/dpwgXxOS3jUyUX1gLNGBA%22	https://cdn.jsdelivr.net/npm/alpinejs@3.x.x/dist/cdn.min.js	C:/My%20Web%20Sites/wedd/cdn.jsdelivr.net/npm/alpinejs@3.x.x/dist/cdn.min.js	(from https://shepherdandmilcah.co.zw/)
12:12:37	12443/12443	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202026%2010:12:35%20GMT	https://shepherdandmilcah.co.zw/gallery	C:/My%20Web%20Sites/wedd/shepherdandmilcah.co.zw/gallery.html	(from https://shepherdandmilcah.co.zw/)
12:12:39	14415/14415	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202026%2010:12:36%20GMT	https://shepherdandmilcah.co.zw/quiz	C:/My%20Web%20Sites/wedd/shepherdandmilcah.co.zw/quiz.html	(from https://shepherdandmilcah.co.zw/)
12:12:40	13623/13623	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202026%2010:12:37%20GMT	https://shepherdandmilcah.co.zw/rsvp	C:/My%20Web%20Sites/wedd/shepherdandmilcah.co.zw/rsvp.html	(from https://shepherdandmilcah.co.zw/)
12:12:42	68723/68723	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jul%202026%2012:40:30%20GMT	https://shepherdandmilcah.co.zw/images/gallery_groom.jpg	C:/My%20Web%20Sites/wedd/shepherdandmilcah.co.zw/images/gallery_groom.jpg	(from https://shepherdandmilcah.co.zw/gallery)
12:12:43	84981/84981	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jul%202026%2012:40:30%20GMT	https://shepherdandmilcah.co.zw/images/gallery_couple.jpg	C:/My%20Web%20Sites/wedd/shepherdandmilcah.co.zw/images/gallery_couple.jpg	(from https://shepherdandmilcah.co.zw/gallery)
12:12:45	96576/96576	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jul%202026%2012:40:30%20GMT	https://shepherdandmilcah.co.zw/images/gallery_groomsmen.jpg	C:/My%20Web%20Sites/wedd/shepherdandmilcah.co.zw/images/gallery_groomsmen.jpg	(from https://shepherdandmilcah.co.zw/gallery)
12:12:47	101317/101317	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jul%202026%2012:40:30%20GMT	https://shepherdandmilcah.co.zw/images/gallery_bridesmaids.jpg	C:/My%20Web%20Sites/wedd/shepherdandmilcah.co.zw/images/gallery_bridesmaids.jpg	(from https://shepherdandmilcah.co.zw/gallery)
12:12:47	4717217/4717217	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Jul%202026%2012:40:30%20GMT	https://shepherdandmilcah.co.zw/images/hero.png	C:/My%20Web%20Sites/wedd/shepherdandmilcah.co.zw/images/hero.png	(from https://shepherdandmilcah.co.zw/)
12:12:48	59020/59020	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jul%202026%2012:40:30%20GMT	https://shepherdandmilcah.co.zw/images/gallery_bride.jpg	C:/My%20Web%20Sites/wedd/shepherdandmilcah.co.zw/images/gallery_bride.jpg	(from https://shepherdandmilcah.co.zw/gallery)
12:12:49	69464/69464	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jul%202026%2012:40:30%20GMT	https://shepherdandmilcah.co.zw/images/gallery_tablesetting.jpg	C:/My%20Web%20Sites/wedd/shepherdandmilcah.co.zw/images/gallery_tablesetting.jpg	(from https://shepherdandmilcah.co.zw/gallery)
